Playerid; FirstName; LastName; Age; BirthDate; Height; Weight; Nationality; Club; Value_eur; Wage_eur; Team_Position
1; Lionel; Messi;34; 1987-06-24;170;72; ARG; Paris Saint-Germain;78;78; RW
2; Robert; Lewandowski;32; 1988-08-21;185;81; POL; FC Bayern München;120;120; ST
3; Cristiano Ronaldo; dos Santos;36; 1985-02-05;187;83; PRT; Manchester United;45;45; ST
4; Neymar; da Silva;29; 1992-02-05;175;68; BRA; Paris Saint-Germain;129;129; LW
5; Kevin; De Bruyne;30; 1991-06-28;181;70; BEL; Manchester City;126;126; CM
6; Jan; Oblak;28; 1993-01-07;188;87; SVN; Atlético de Madrid;112;112; GK
7; Kylian; Mbappé;22; 1998-12-20;182;73; FRA; Paris Saint-Germain;194;194; ST
8; Manuel; Neuer;35; 1986-03-27;193;93; DEU; FC Bayern München;14;14; GK
9; Marc-André; ter Stegen;29; 1992-04-30;187;85; DEU; FC Barcelona;99;99; GK
10; Harry; Kane;27; 1993-07-28;188;89; ENG; Tottenham Hotspur;130;130; ST
11; N\Golo; Kanté;30; 1991-03-29;168;70; FRA; Chelsea;100;100; CM
12; Karim; Benzema;33; 1987-12-19;185;81; FRA; Real Madrid CF;66;66; CF
13; Thibaut; Courtois;29; 1992-05-11;199;96; BEL; Real Madrid CF;86;86; GK
14; Carlos; Casimiro;29; 1992-02-23;185;84; BRA; Real Madrid CF;88;88; CDM
15; Virgil; van Dijk;29; 1991-07-08;193;92; NLD; Liverpool;86;86; CB
16; Sadio; Mané;29; 1992-04-10;175;69; SEN; Liverpool;101;101; LW
17; Mohamed; Salah;29; 1992-06-15;175;71; EGY; Liverpool;101;101; RW
18; Ederson; Santana;27; 1993-08-17;188;86; BRA; Manchester City;94;94; GK
19; Joshua; Kimmich;26; 1995-02-08;177;75; DEU; FC Bayern München;108;108; CDM
20; Alisson; Becker;28; 1992-10-02;191;91; BRA; Liverpool;82;82; GK
21; Gianluigi; Donnarumma;22; 1999-02-25;196;90; ITA; Paris Saint-Germain;120;120; GK
22; Sergio; Ramos;35; 1986-03-30;184;82; ESP; Paris Saint-Germain;24;24; CB
23; Luis; Suárez;34; 1987-01-24;182;83; URY; Atlético de Madrid;45;45; ST
24; Toni; Kroos;31; 1990-01-04;183;76; DEU; Real Madrid CF;75;75; CM
25; Romelu; Lukaku;28; 1993-05-13;191;94; BEL; Chelsea;94;94; ST
