idProduct; City; Customer_type; Gender; Product_line; DateSale; Payment
1;Yangon;Member;Female;Health and beauty;05/01/2019;Ewallet
2;Naypyitaw;Normal;Female;Electronic accessories;08/03/2019;Cash
3;Yangon;Normal;Male;Home and lifestyle;03/03/2019;Credit card
4;Yangon;Member;Male;Health and beauty;27/01/2019;Ewallet
5;Yangon;Normal;Male;Sports and travel;08/02/2019;Ewallet
6;Naypyitaw;Normal;Male;Electronic accessories;25/03/2019;Ewallet
7;Yangon;Member;Female;Electronic accessories;25/02/2019;Ewallet
8;Naypyitaw;Normal;Female;Home and lifestyle;24/02/2019;Ewallet
9;Yangon;Member;Female;Health and beauty;10/01/2019;Credit card
10;Mandalay;Member;Female;Food and beverages;20/02/2019;Credit card
11;Mandalay;Member;Female;Fashion accessories;06/02/2019;Ewallet
12;Mandalay;Member;Male;Electronic accessories;09/03/2019;Cash
13;Yangon;Normal;Female;Electronic accessories;12/02/2019;Ewallet
14;Yangon;Normal;Male;Food and beverages;07/02/2019;Ewallet
15;Yangon;Normal;Female;Health and beauty;29/03/2019;Cash
16;Mandalay;Member;Female;Sports and travel;15/01/2019;Cash
17;Yangon;Member;Female;Health and beauty;11/03/2019;Credit card
18;Yangon;Normal;Male;Sports and travel;01/01/2019;Credit card
19;Yangon;Normal;Male;Food and beverages;21/01/2019;Credit card
20;Mandalay;Normal;Female;Home and lifestyle;11/03/2019;Ewallet
21;Naypyitaw;Member;Male;Electronic accessories;25/02/2019;Ewallet
22;Mandalay;Normal;Male;Health and beauty;05/03/2019;Ewallet
23;Mandalay;Normal;Male;Home and lifestyle;15/03/2019;Credit card
24;Yangon;Normal;Male;Electronic accessories;17/02/2019;Ewallet
25;Yangon;Member;Male;Sports and travel;02/03/2019;Ewallet
26;Yangon;Member;Female;Home and lifestyle;22/03/2019;Credit card
27;Mandalay;Normal;Male;Fashion accessories;08/02/2019;Cash
28;Yangon;Normal;Female;Fashion accessories;10/03/2019;Credit card
29;Mandalay;Normal;Female;Food and beverages;25/01/2019;Cash
