CustomerId,Transaction,Value
15653320,trans_4,-294.03
14955663,trans_3,1297.97
15218505,trans_4,191.28
15391934,trans_3,2299.07
14847291,trans_3,1612.1
14682542,trans_2,-324.99
15635388,trans_4,403.94
15119128,trans_5,43630.95
15457173,trans_2,-884.89
14853007,trans_5,34630.94
15946788,trans_3,2108.84
15728939,trans_2,-864.81
15403931,trans_4,-970.72
15451061,trans_1,3616.52
15283784,trans_5,62044
14889589,trans_4,-904.33
15983785,trans_2,-651.47
15732923,trans_1,1239.48
15141610,trans_2,-165.51
15622310,trans_1,3695.41
15915312,trans_3,2898.26
15418224,trans_2,-393.23
14707422,trans_1,3102.47
15105907,trans_5,11341.27
15757756,trans_1,2052.87
15290244,trans_2,-363.65
14749864,trans_3,1561.97
15655922,trans_5,8170.8
15569523,trans_2,-331.43
15914436,trans_1,1034.07
14583607,trans_2,-122.41
15697796,trans_3,2580.23
15676590,trans_5,182363.73
15008055,trans_2,-550.86
14698613,trans_1,4511.74
15677533,trans_2,63.56
15927537,trans_2,-9.8
15465853,trans_5,52162.59
15393749,trans_5,-5328.24
14882194,trans_5,103351.31
14846140,trans_4,292.83
14971954,trans_1,2235.12
14920576,trans_4,412.77
15048045,trans_3,2125.95
15145457,trans_4,-243.33
15387584,trans_2,-112.09
15556013,trans_1,4316.33
15708965,trans_3,2984.3
14650053,trans_1,3916.57
15289182,trans_1,2815.94
14742008,trans_1,2265.04
15045918,trans_2,-671.82
14762748,trans_2,-731.83
15976326,trans_2,-467.46
15992506,trans_4,-790.7
15998758,trans_1,4798.94
15397895,trans_4,45.32
15760050,trans_2,-752.48
15720544,trans_5,113352.31
15906492,trans_1,4964.14
15722800,trans_1,2195.15
14577988,trans_1,1480.36
15042796,trans_4,499.44
15438017,trans_5,204666.47
14560287,trans_3,1134.76
15388508,trans_5,129207.62
15676339,trans_1,4300.74
15679304,trans_1,2110.88
15856576,trans_4,-437.78
15983035,trans_5,-4157.4
15386818,trans_5,-6051.56
15384413,trans_5,75128.8
14753565,trans_1,3087.73
14769790,trans_4,-604.7
15201251,trans_2,13.19
15069209,trans_4,-974.4
14707570,trans_3,2341.62
15464578,trans_4,-749.53
15692637,trans_2,-552.4
15175629,trans_5,186217.51
15884196,trans_5,26939.63
15335044,trans_4,369.38
14765130,trans_1,3078.67
15925070,trans_2,-452.52
14571290,trans_2,-745.32
15872420,trans_5,72882.25
15252475,trans_4,222.43
15050006,trans_3,1244.13
15271774,trans_3,1442.17
15580926,trans_1,2484.32
14507138,trans_2,8.81
15974973,trans_3,2517
15810535,trans_3,1855.6
15569872,trans_2,-772.12
15622128,trans_1,4741.43
15722442,trans_4,-336.22
14649381,trans_4,-909.12
15818236,trans_3,1051.45
15828109,trans_5,134886.91
15318049,trans_4,483.48
14771237,trans_4,-636.69
14684230,trans_3,1008.55
15909990,trans_5,1843.78
15440649,trans_3,2723.17
14619643,trans_2,-29.95
15224492,trans_4,-31.19
15704877,trans_3,2153.91
15693028,trans_4,479.99
15571713,trans_3,2475.07
15301569,trans_5,-5463.38
15599838,trans_5,-5213.94
15733808,trans_3,1765.87
15038806,trans_3,2739.19
15786259,trans_4,-406.61
15380208,trans_3,2717.71
15155728,trans_1,4153.3
15071060,trans_2,-805.49
15589334,trans_3,2586.28
14655841,trans_1,2722.87
15308197,trans_2,-61.27
15975344,trans_2,-779.25
14769897,trans_1,3672.05
14833245,trans_2,-638.23
15418085,trans_4,140.95
15054427,trans_5,97617.22
15993198,trans_1,2798.62
15128032,trans_5,98470.04
15598917,trans_2,-542.25
15252185,trans_3,2003.09
14514227,trans_5,109013.21
15626133,trans_3,1618.1
15940102,trans_5,31911.93
15355342,trans_1,4644.48
14652720,trans_3,2407.62
14641977,trans_3,1471.74
15074517,trans_3,1073.35
15627396,trans_5,81467.92
15931178,trans_3,1139.56
15978781,trans_4,-616.91
15166769,trans_2,-821.55
15659378,trans_1,1144.84
15086622,trans_5,101724.35
15962030,trans_4,-498.6
14768672,trans_4,-833.79
15589407,trans_2,-108.15
15399756,trans_1,3808.9
15795273,trans_3,2719.75
14989075,trans_1,4860.85
14891808,trans_2,-801.56
15822080,trans_1,1362.26
15552299,trans_4,-286.15
15949595,trans_2,-209.22
15004918,trans_4,373.49
14635038,trans_5,56470.31
15713348,trans_1,1380.59
14589228,trans_5,77336.41
15174317,trans_2,86.12
15788316,trans_5,38269.11
15684817,trans_4,-464.53
15898149,trans_2,-460.08
15829308,trans_5,102723.09
15467410,trans_4,60.32
14775368,trans_5,55386.51
15851775,trans_5,239348.03
15745978,trans_1,1138.68
15650789,trans_2,-443.21
14665908,trans_1,3257.27
15028666,trans_5,119810.67
14827170,trans_3,2308.89
15673845,trans_3,1009.44
15590371,trans_4,-157.34
14821778,trans_4,-369.83
14542115,trans_3,1525.34
15734206,trans_1,1912.58
15373757,trans_5,57014.43
15926117,trans_1,3370.71
15158824,trans_3,1756.68
14558799,trans_1,4483.24
14568776,trans_3,1909.03
15965174,trans_3,1520.81
14988059,trans_5,71270.6
15496858,trans_2,-104.12
15244220,trans_3,1132.21
14627148,trans_3,1654.87
15258864,trans_2,-184.74
15970165,trans_1,4332.48
14805843,trans_5,110824.52
15630128,trans_1,4741.57
15812723,trans_1,3181.29
14838024,trans_4,440.32
14514276,trans_1,1555.26
14599911,trans_4,299.72
15111374,trans_5,89928.94
15561696,trans_5,63354.77
15581725,trans_3,2053.77
15715060,trans_4,-295.6
15635378,trans_4,-962.13
14712059,trans_1,1403.71
15488956,trans_4,-841.62
15788100,trans_5,36200.59
15609295,trans_1,2174.29
15490800,trans_4,-7.94
15434871,trans_2,-715.65
15261695,trans_2,-603.21
14838654,trans_3,2727.54
15502272,trans_3,1281.14
15568055,trans_3,2000.89
14709594,trans_1,4055.08
15134034,trans_3,1503.16
15592627,trans_2,58.28
15091616,trans_1,2183.38
15645055,trans_2,-79.07
14825163,trans_2,-299.33
15199794,trans_3,1076.78
14803022,trans_5,164357.19
15829565,trans_1,2950.03
15868125,trans_3,1077.81
14763947,trans_5,75819.17
14779760,trans_4,-155.03
15772578,trans_3,1526.63
15669660,trans_1,3915.44
14750958,trans_2,70.42
15600026,trans_2,-815.17
14942572,trans_3,1596.88
15797945,trans_1,3578.05
15556881,trans_2,-665.09
15471370,trans_4,-516.54
14857314,trans_4,-719.63
15597423,trans_4,-229.9
15672101,trans_2,-267.1
14781237,trans_3,2585.27
15620012,trans_4,-96.7
15625355,trans_5,58481.8
15431097,trans_1,3039.83
15080746,trans_3,2063.44
15967024,trans_1,1505.14
15551200,trans_4,116.42
15913294,trans_2,-288.64
15857778,trans_3,1106.29
15546602,trans_2,-875.89
15839103,trans_4,339.43
15890065,trans_2,-678.45
15499038,trans_4,-913.49
14719141,trans_4,-748.35
15219362,trans_5,102784.77
15472927,trans_5,165965.94
15297996,trans_4,359.59
15508427,trans_4,-29.92
15871705,trans_1,1035.78
15462156,trans_5,91923
15029523,trans_3,2175.65
14814902,trans_5,79615.97
15083613,trans_5,196417.26
15436927,trans_2,-312.65
14789548,trans_5,48849.65
15761931,trans_3,2579.77
15601482,trans_3,1286.73
