idProduct;City;Customer type;Gender;Product line;Date;Payment;Unit price;Quantity;Rating
1;Yangon;Member;Female;Health and beauty;05/01/2019;Ewallet;74.69;7;9.1
2;Naypyitaw;Normal;Female;Electronic accessories;08/03/2019;Cash;15.28;5;9.6
3;Yangon;Normal;Male;Home and lifestyle;03/03/2019;Credit card;46.33;7;7.4
4;Yangon;Member;Male;Health and beauty;27/01/2019;Ewallet;58.22;8;8.4
5;Yangon;Normal;Male;Sports and travel;08/02/2019;Ewallet;86.31;7;5.3
6;Naypyitaw;Normal;Male;Electronic accessories;25/03/2019;Ewallet;85.39;7;4.1
7;Yangon;Member;Female;Electronic accessories;25/02/2019;Ewallet;68.84;6;5.8
8;Naypyitaw;Normal;Female;Home and lifestyle;24/02/2019;Ewallet;73.56;10;8
9;Yangon;Member;Female;Health and beauty;10/01/2019;Credit card;36.26;2;7.2
10;Mandalay;Member;Female;Food and beverages;20/02/2019;Credit card;54.84;3;5.9
11;Mandalay;Member;Female;Fashion accessories;06/02/2019;Ewallet;14.48;4;4.5
12;Mandalay;Member;Male;Electronic accessories;09/03/2019;Cash;25.51;4;6.8
13;Yangon;Normal;Female;Electronic accessories;12/02/2019;Ewallet;46.95;5;7.1
14;Yangon;Normal;Male;Food and beverages;07/02/2019;Ewallet;43.19;10;8.2
15;Yangon;Normal;Female;Health and beauty;29/03/2019;Cash;71.38;10;5.7
16;Mandalay;Member;Female;Sports and travel;15/01/2019;Cash;93.72;6;4.5
17;Yangon;Member;Female;Health and beauty;11/03/2019;Credit card;68.93;7;4.6
18;Yangon;Normal;Male;Sports and travel;01/01/2019;Credit card;72.61;6;6.9
19;Yangon;Normal;Male;Food and beverages;21/01/2019;Credit card;54.67;3;8.6
20;Mandalay;Normal;Female;Home and lifestyle;11/03/2019;Ewallet;40.3;2;4.4
21;Naypyitaw;Member;Male;Electronic accessories;25/02/2019;Ewallet;86.04;5;4.8
22;Mandalay;Normal;Male;Health and beauty;05/03/2019;Ewallet;87.98;3;5.1
23;Mandalay;Normal;Male;Home and lifestyle;15/03/2019;Credit card;33.2;2;4.4
24;Yangon;Normal;Male;Electronic accessories;17/02/2019;Ewallet;34.56;5;9.9
25;Yangon;Member;Male;Sports and travel;02/03/2019;Ewallet;88.63;3;6
26;Yangon;Member;Female;Home and lifestyle;22/03/2019;Credit card;52.59;8;8.5
27;Mandalay;Normal;Male;Fashion accessories;08/02/2019;Cash;33.52;1;6.7
28;Yangon;Normal;Female;Fashion accessories;10/03/2019;Credit card;87.67;2;7.7
29;Mandalay;Normal;Female;Food and beverages;25/01/2019;Cash;88.36;5;9.6
30;Yangon;Normal;Male;Health and beauty;15/03/2019;Cash;24.89;9;7.4
31;Mandalay;Normal;Male;Fashion accessories;25/02/2019;Credit card;94.13;5;4.8
32;Mandalay;Member;Male;Sports and travel;28/01/2019;Cash;78.07;9;4.5
33;Mandalay;Normal;Male;Sports and travel;10/01/2019;Cash;83.78;8;5.1
34;Yangon;Normal;Male;Health and beauty;15/03/2019;Credit card;96.58;2;5.1
35;Naypyitaw;Member;Female;Food and beverages;06/02/2019;Ewallet;99.42;4;7.5
36;Naypyitaw;Member;Female;Sports and travel;07/01/2019;Ewallet;68.12;1;6.8
37;Yangon;Member;Male;Sports and travel;10/03/2019;Ewallet;62.62;5;7
38;Yangon;Normal;Female;Electronic accessories;15/01/2019;Ewallet;60.88;9;4.7
39;Naypyitaw;Normal;Female;Health and beauty;23/03/2019;Ewallet;54.92;8;7.6
40;Mandalay;Member;Male;Home and lifestyle;03/03/2019;Cash;30.12;8;7.7
41;Mandalay;Member;Female;Home and lifestyle;17/01/2019;Ewallet;86.72;1;7.9
42;Naypyitaw;Member;Male;Home and lifestyle;02/02/2019;Cash;56.11;2;6.3
43;Mandalay;Member;Female;Sports and travel;08/02/2019;Cash;69.12;6;5.6
44;Naypyitaw;Member;Female;Food and beverages;04/03/2019;Cash;98.7;8;7.6
45;Naypyitaw;Member;Male;Health and beauty;16/03/2019;Cash;15.37;2;7.2
46;Mandalay;Member;Female;Electronic accessories;09/03/2019;Cash;93.96;4;9.5
47;Mandalay;Member;Male;Health and beauty;27/02/2019;Credit card;56.69;9;8.4
48;Mandalay;Member;Female;Food and beverages;06/02/2019;Ewallet;20.01;9;4.1
49;Mandalay;Member;Male;Electronic accessories;10/02/2019;Credit card;18.93;6;8.1
50;Naypyitaw;Member;Female;Fashion accessories;19/03/2019;Ewallet;82.63;10;7.9
51;Naypyitaw;Member;Male;Food and beverages;03/02/2019;Cash;91.4;7;9.5
52;Yangon;Member;Female;Food and beverages;10/02/2019;Cash;44.59;5;8.5
53;Mandalay;Member;Female;Fashion accessories;22/03/2019;Ewallet;17.87;4;6.5
54;Naypyitaw;Member;Male;Fashion accessories;25/01/2019;Credit card;15.43;1;6.1
55;Mandalay;Normal;Male;Home and lifestyle;07/03/2019;Ewallet;16.16;2;6.5
56;Naypyitaw;Normal;Female;Electronic accessories;28/02/2019;Cash;85.98;8;8.2
57;Yangon;Member;Male;Home and lifestyle;27/03/2019;Cash;44.34;2;5.8
58;Yangon;Normal;Male;Health and beauty;07/02/2019;Ewallet;89.6;8;6.6
59;Yangon;Member;Female;Home and lifestyle;20/01/2019;Cash;72.35;10;5.4
60;Naypyitaw;Normal;Male;Electronic accessories;12/03/2019;Cash;30.61;6;9.3
61;Naypyitaw;Member;Female;Sports and travel;15/02/2019;Credit card;24.74;3;10
62;Naypyitaw;Normal;Male;Home and lifestyle;24/02/2019;Ewallet;55.73;6;7
63;Mandalay;Member;Female;Sports and travel;03/02/2019;Ewallet;55.07;9;10
64;Yangon;Member;Male;Sports and travel;06/03/2019;Credit card;15.81;10;8.6
65;Mandalay;Member;Male;Health and beauty;14/02/2019;Cash;75.74;4;7.6
66;Yangon;Member;Male;Health and beauty;13/03/2019;Cash;15.87;10;5.8
67;Naypyitaw;Normal;Female;Health and beauty;10/02/2019;Ewallet;33.47;2;6.7
68;Mandalay;Member;Female;Fashion accessories;07/01/2019;Ewallet;97.61;6;9.9
69;Yangon;Normal;Male;Sports and travel;24/01/2019;Cash;78.77;10;6.4
70;Yangon;Member;Female;Health and beauty;02/02/2019;Cash;18.33;1;4.3
71;Naypyitaw;Normal;Male;Food and beverages;06/01/2019;Credit card;89.48;10;9.6
72;Naypyitaw;Normal;Male;Fashion accessories;11/02/2019;Cash;62.12;10;5.9
